book_id	kind	url
000013680	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000013680
000013680	pdf	http://access.bl.uk/item/pdf/lsidyv314e3b28
000014046	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000056E2C
000014052	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000000E52
000014083	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000054222
000014466	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000002670
000014468	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000003252
000014468	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000014468
000014468	pdf	http://access.bl.uk/item/pdf/lsidyv34f90c74
000014543	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000034A8E
000014563	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000036B28
000014608	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000005DAE
000014617	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000050688
000014617	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005068E
000014617	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000050694
000014619	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003354C
000014619	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005154C
000014619	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000051552
000014620	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004568A
000014622	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000042D50
000014622	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000042D56
000014623	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003F0D2
000014627	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000059556
000014631	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A0F4
000014633	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A628
000014633	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A62E
000014633	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004B768
000014635	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000044B86
000014638	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004847A
000014638	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000048480
000014639	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000044B8C
000014640	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003E3F4
000014640	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003E400
000014640	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003E406
000014642	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A78A
000014642	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A790
000014642	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004A796
000014643	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000512A0
000014643	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000512AC
000014643	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000052EC0
000014644	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000416A0
000014645	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004D3E2
000014645	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004D3E8
000014645	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004D3EE
000014646	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000040E84
000014653	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003D10A
000014653	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003D81E
000014653	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003D824
000014668	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000000AF80
000014678	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000044DD8
000014678	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000044DDE
000014703	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005D58E
000014703	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000014703
000014703	pdf	http://access.bl.uk/item/pdf/lsidyv3cb7be2b
000014753	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002557E
