book_id	primary	secondary	tertiary
002646642	Non-Fiction	Topography	European
002647129	Non-Fiction	Topography	West Indian, Canadian
002647240	Fiction	Fiction	English 3 Volume Novels
002647812	Fiction	Fiction	English 3 Volume Novels
002647897	Non-Fiction	Uncategorised	
002647946	Non-Fiction	Topography	United States of America
002648255	Non-Fiction	Voyages & Travels	Eastern Europe, Chiefly Russia
002648269	Non-Fiction	Voyages & Travels	Eastern Europe, Chiefly Russia
002648488	Non-Fiction	Uncategorised	
002648539	Non-Fiction	Geography	
002648593	Non-Fiction	Geology	
002648636	Non-Fiction	Uncategorised	
002648637	Non-Fiction	Topography	Great Britain & Ireland
002648840	Non-Fiction	Poetry	English Selections
002648867	Non-Fiction	History	English
002648869	Non-Fiction	Topography	English, Southern
002648945	Non-Fiction	Topography	English, Southern
002648948	Non-Fiction	Topography	English, Southern
002648949	Non-Fiction	Topography	English, Northern
002648985	Non-Fiction	Poetry	English Selections
002649143	Non-Fiction	Uncategorised	
002649283	Non-Fiction	Topography	United States of America
002649296	Fiction	Fiction	English 3 Volume Novels
002649422	Non-Fiction	Topography	United States of America
002649436	Non-Fiction	Topography	Great Britain & Ireland
002649498	Non-Fiction	Topography	English, Northern
002649499	Non-Fiction	Topography	English, Southern
002649528	Non-Fiction	Voyages & Travels	Great Britain
002649529	Non-Fiction	Voyages & Travels	Great Britain
002649531	Non-Fiction	History	Ireland & Scotland
002649580	Fiction	Fiction	English 3 Volume Novels
002649581	Fiction	Fiction	English 3 Volume Novels
002649583	Non-Fiction	Topography	English, Southern
002649584	Non-Fiction	Topography	English, Southern
002649585	Non-Fiction	Topography	Great Britain & Ireland
002649588	Non-Fiction	Topography	Great Britain & Ireland
002649590	Non-Fiction	Topography	Great Britain & Ireland
002649616	Fiction	Fiction	English 2 Volume Novels
002649648	Non-Fiction	Topography	Scotch
002649652	Non-Fiction	Poetry	English, Separate Works, 19th Century
002649653	Non-Fiction	Poetry	English, Separate Works, 19th Century
002649692	Non-Fiction	Topography	Indian, Chinese, Japanese
002649703	Non-Fiction	Topography	African
002649730	Non-Fiction	Topography	England
002649731	Non-Fiction	Geography	Scotland & Ireland
002649779	Non-Fiction	Geology	Coal
002649825	Non-Fiction	Uncategorised	
002649963	Fiction	Fiction	English 3 Volume Novels
002649974	Non-Fiction	Poetry	English
002649977	Non-Fiction	Poetry	English, 18th, 19th Centuries
002649978	Non-Fiction	Poetry	English
002649979	Non-Fiction	Poetry	English, Separate Works, 19th Century
002650156	Non-Fiction	Poetry	English Selections
002650341	Fiction	Fiction	English 3 Volume Novels
002650496	Non-Fiction	Topography	Great Britain & Ireland
002650768	Non-Fiction	Plays	
002650857	Non-Fiction	Topography	English, Northern
002651776	Non-Fiction	History	General
002651784	Non-Fiction	History	English Regiments & Navy
002651785	Non-Fiction	Topography	English, Northern
002652121	Non-Fiction	Geography	
002652684	Non-Fiction	Poetry	English Selections
