volume_id	book_id	volume_num	total	path	filesize
000015135_01	000015135	1	1	0000/000015135_01_text.txt	512
000015138_01	000015138	1	1	0000/000015138_01_text.txt	258
000015139_01	000015139	1	2	0000/000015139_01_text.txt	299
000015139_02	000015139	2	2	0000/000015139_02_text.txt	268
000015140_01	000015140	1	1	0000/000015140_01_text.txt	194
000015141_01	000015141	1	1	0000/000015141_01_text.txt	449
000015146_01	000015146	1	1	0000/000015146_01_text.txt	143
000015282_01	000015282	1	1	0000/000015282_01_text.txt	578
000015283_01	000015283	1	1	0000/000015283_01_text.txt	583
000015439_01	000015439	1	1	0000/000015439_01_text.txt	643
000015483_01	000015483	1	3	0000/000015483_01_text.txt	323
000015483_02	000015483	2	3	0000/000015483_02_text.txt	310
000015483_03	000015483	3	3	0000/000015483_03_text.txt	326
000015534_01	000015534	1	1	0000/000015534_01_text.txt	636
000015576_01	000015576	1	1	0000/000015576_01_text.txt	114
000015860_01	000015860	1	1	0000/000015860_01_text.txt	152
000015861_01	000015861	1	1	0000/000015861_01_text.txt	260
000016014_01	000016014	1	1	0000/000016014_01_text.txt	235
000016082_01	000016082	1	1	0000/000016082_01_text.txt	742
000016173_01	000016173	1	1	0000/000016173_01_text.txt	312
000016193_01	000016193	1	1	0000/000016193_01_text.txt	152
000016309_01	000016309	1	1	0000/000016309_01_text.txt	43
000016363_01	000016363	1	1	0000/000016363_01_text.txt	546
000016543_01	000016543	1	1	0000/000016543_01_text.txt	338
000016544_01	000016544	1	1	0000/000016544_01_text.txt	362
000016957_01	000016957	1	1	0000/000016957_01_text.txt	514
000016969_01	000016969	1	1	0000/000016969_01_text.txt	165
000016984_01	000016984	1	1	0000/000016984_01_text.txt	719
000016986_01	000016986	1	1	0000/000016986_01_text.txt	646
000016987_01	000016987	1	1	0000/000016987_01_text.txt	796
000016989_01	000016989	1	1	0000/000016989_01_text.txt	549
000016990_01	000016990	1	1	0000/000016990_01_text.txt	663
000017004_01	000017004	1	1	0000/000017004_01_text.txt	798
000017008_01	000017008	1	2	0000/000017008_01_text.txt	697
000017008_02	000017008	2	2	0000/000017008_02_text.txt	565
000017022_01	000017022	1	2	0000/000017022_01_text.txt	735
000017022_02	000017022	2	2	0000/000017022_02_text.txt	772
000017032_01	000017032	1	1	0000/000017032_01_text.txt	373
000017041_01	000017041	1	1	0000/000017041_01_text.txt	1046
000017042_01	000017042	1	2	0000/000017042_01_text.txt	663
000017042_02	000017042	2	2	0000/000017042_02_text.txt	686
000017045_01	000017045	1	2	0000/000017045_01_text.txt	700
000017045_02	000017045	2	2	0000/000017045_02_text.txt	709
000017054_01	000017054	1	1	0000/000017054_01_text.txt	189
000017057_01	000017057	1	1	0000/000017057_01_text.txt	1287
000017067_01	000017067	1	1	0000/000017067_01_text.txt	813
000017081_01	000017081	1	1	0000/000017081_01_text.txt	838
000017276_01	000017276	1	1	0000/000017276_01_text.txt	2
000017277_01	000017277	1	1	0000/000017277_01_text.txt	12
000017295_01	000017295	1	1	0000/000017295_01_text.txt	1067
000017591_01	000017591	1	1	0000/000017591_01_text.txt	414
000017599_01	000017599	1	1	0000/000017599_01_text.txt	147
000017602_01	000017602	1	1	0000/000017602_01_text.txt	173
000018044_01	000018044	1	2	0000/000018044_01_text.txt	537
000018044_02	000018044	2	2	0000/000018044_02_text.txt	154
000018108_01	000018108	1	1	0000/000018108_01_text.txt	413
